,name
Охранник с УЧО,4
Полицейский/полицейский-водитель,4
Специалист службы контроля,4
Инспектор по досмотру,4
Начальник отдела комплексной безопасности,4
Специалист отдела экономической безопасности,4
Специалист по охране труда и промышленной безопасности (Алдан Нерюнгринский район),4
Ведущий специалист отдела охраны труда и промышленной безопасности,4
Начальник караула пожарной части,4
Охранник в коттеджный поселок,4
"Следователь следственного отдела МВД России ""Торжокский""",4
"Полицейский (спецбатальон), г. Москва",4
Специалист по охране труда (Вахта),4
Полицейский отделения охраны и конвоирования,4
Старший смены,4
Охранник-стрелок,4
Оперуполномоченный ОУР,4
"Инженер по экологической безопасности (г. Ялта, Республика Крым)",4
Заместитель главного инженера по охране труда,4
"Специалист по охране труда, промышленной безопасности и охране окружающей среды",4
"Полицейский ОВ ППСП МО МВД России ""Торжокский""",4
"Следователь следственного отдела Межмуниципального отдела МВД России ""Бежецкий""",4
Главный специалист (ответственный за обеспечение безопасности дорожного движения),4
Менеджер по безопасности,4
Охранник-вахтер,4
Специалист по охране труда и ПБ,4
Руководитель отдела ОТ и ТБ / Руководитель отдела охраны труда и техники безопасности (г. Ступино),4
Специалист по безопасности РЦ Внуково,4
Начальник службы охраны труда и промышленной безопасности,4
Контролер склада,4
Сотрудник полиции (2 специальный батальон),4
Специалист по взысканию,4
Специалист по охране труда (г. Магадан),4
Специалист 1 разряда отдела безопасности,4
Охранник склада,4
Помощник машиниста электровоза,4
Инспектор по гражданской обороне,4
"Участковый уполномоченный полиции МВД России ""Кашинский""",4
"Начальник отдела промышленной безопасности, охраны труда и экологии",4
Водитель пожарного автомобиля,4
Специалист/Инженер по пожарной безопасности,4
Контролер газового хозяйства,4
"Руководитель отдела охраны труда, промышленной безопасности, пожарной безопасности и экологии",4
Руководитель отдела по охране труда,4
Начальник службы охраны труда,4
Водитель-охранник в коттеджный поселок,4
Старший специалист по взысканию задолженности - Удаленно,4
Полицейский 2 СПП ГУ МВД России по г.Москве,4
"Полицейский Полка охраны и конвоирования ГУ МВД России, спецподразделение (г. Москва)",4
Полицейский-кинолог,4
Специалист (пожарная безопасность),4
Охранник на завод ЦБК (Ленинградская область),4
Охранник группы быстрого реагирования,4
Старший контролер,4
Сотрудник вневедомственной охраны Росгвардии,4
Главный специалист по ООС и ПБ в ОП Усть Луга,4
Специалист охраны труда и промышленной безопасности в поселке Усть-Луга,4
Директор по безопасности,4
"Руководитель отдела по охране труда, экологии и промышленной безопасности",4
Охранник в частный дом,4
Ревизор,4
Контролер службы внутреннего контроля,4
Полицейский ППС,4
Охранник в Бизнес-центр,4
"Сотрудник полиции (Полк полиции), г. Москва",4
Администратор охраны,4
Охранник (строительная площадка),4
Охранник-стрелок ведомственной охраны,4
"Супервайзер по ОТ, ПБ и ОС",4
Заместитель директора по охране труда и промышленной безопасности (Сахалинская область),4
Полицейский по г. Москве 2-ой Специальный Батальон,4
Старший специалист по работе с заемщиками,4
"Старший специалист по ПБ, ОТ и ОС (Новый Уренгой)",4
Главный специалист службы безопасности,4
Полицейский (ГУ МВД России по г. Москве),4
Эксперт-криминалист,4
Охранник / инспектор внутреннего контроля,3
"Оперуполномоченный ОУР МО МВД России ""Удомельский""",3
Заместитель начальника охраны,3
Ведущий специалист по противопожарной профилактике,3
Контролер по режиму,3
Сотрудник охраны на КПП (строящейся объект в Толмачево),3
Специалист по производственному контролю,3
Сотрудник полиции (ГУ МВД России по г. Москве),3
Полицейский (отдел полиции УВД на ММ),3
"Полицейский (полк полиции по ЮВАО), г. Москва",3
Инженер по производственному контролю,3
Ведущий специалист по вибродиагностике,3
Инженер по экологической безопасности (эколог),3
Инженер по безопасности дорожного движения (БДД),3
Инженер БДД,3
"Ведущий специалист по охране труда, промышленной безопасности и экологии",3
Контролер-охранник торгового зала,3
Охранник-контролер на Казанский вокзал (Почта России),3
Специалист по охране труда (по категориям),3
Частный охранник,3
Весовщик-учетчик,3
Охранник в Спортлагерь Факел (Подгорный),3
"Специалист по пожарной безопасности, ГО ЧС",3
Участковый уполномоченный полиции ОМВД России по Кировскому району ЛО,3
Охранник в ЧОП,3
Охранник торгового центра,3
Специалист по экологии,3
Полицейский ОМВД России по Кировскому району ЛО,3
Охранник в строительный гипермаркет,3
Инженер-сметчик,3
Специалист по охране труда / инженер по пожарной безопасности,3
Контролер-охранник КПП,3
Специалист отдела выездного взыскания,3
"Инженер по охране окружающей среды (Ивнянский район, х. Зоринские дворы)",3
Сотрудник полиции 2СПП (ГУ МВД России по г. Москве),3
Стрелок ВОХР,3
Специалист по ОТ и ТБ,3
Специалист 1 разряда аппарата мировых судей Ставропольского края,3
Инспектор отдела охраны Можайская воспитательная колония,3
Специалист-контролер,3
Начальник отдела промышленной безопасности,3
Начальник пассажирского поезда,3
Полицейский (боец) ОМОН,3
Охранник (Искитимский р-н),3
Специалист службы внутреннего контроля,3
"Сторож в СНТ ""Лесотехник"", Верхнепышминский район",3
Специалист по охране окружающей среды (эколог),3
"Участковый уполномоченный полиции МО МВД России ""Удомельский""",3
Специалист по гражданской обороне и чрезвычайным ситуациям,3
Механик/ инженер по бдд (неполный рабочий день),3
"Инженер по промышленной безопасности, охране труда и экологической безопасности 1 категории",3
Полицейский в Росгвардию,3
Контролер - охранник,3
Полицейский (полк полиции) по г. Москве,3
Охранник - администратор на склад класса А,3
Инженер по экологии (Эколог) с функциями специалиста охране труда,3
Охранник в автосалон,3
Специалист по техническим системам безопасности,3
Специалист по безопасности (РЦ Шушары),3
"Полицейский ППСП отдела полиции по р. Ивановское, г Москвы",3
Контролер дежурной смены (охрана),3
Разработчик back-end,3
Инженер ОТ и ПБ,3
Полицейский (ювао / 2 специальный батальон),3
Главный специалист Службы Безопасности,3
Полицейский ОМОН (Москва),3
Охранник-контролер (п. Мирный),3
Оператор видеозаписи,3
Сотрудник Подразделения транспортной безопасности,3
Главный специалист Департамента взыскания,3
Ведущий специалист по охране окружающей среды,3
Охранник-Водитель в Группу Быстрого Реагирования (ГБР),3
Менеджер по работе с клиентами,3
Эколог (нефтегаз),3
Инспектор направления морально-психологического обеспечения отделения кадров,3
Охранник на парковку,3
Ведущий специалист по ОТ и ПБ,3
Техник пожарных систем (газовое и порошковое пожаротушение),3
Специалист службы безопасности / Специалист внутреннего контроля,3
Монтажник слаботочных систем,3
Охранник на предприятие,3
Специалист по видеофиксации (РЦ Шушары),3
Инспектор дорожно-патрульной службы ГИБДД,3
Заместитель начальника отдела охраны труда и промышленной безопасности,3
Специалист в отдел судебной и досудебной работы,3
Ведущий специалист выездного взыскания-эксперт,3
"Начальник отдела ОТ, ПБ И ООС в поселке Усть-луга",3
"Ведущий инженер по охране труда, промышленной и экологической безопасности",3
Тренер по культуре промышленной безопасности,3
"Специалист по охране труда, промышленной безопасности, охране здоровья и окружающей среды",3
Полицейский 2 СПП ГУ МВД России по г. Москве,3
Специалист по исполнительному производству,3
